"DATE","PTFTL","AT","BE","BG","CZ","DK_1","DK_2","FI","FR","DE_LU","GR","IE_SEM","IT_CNOR","NL","PL","PT","RO","ES","SE_1","SE_2","SE_3","SE_4","DEMAND","WIND","RIVER","NGASSTOCK","TTF","USDTL"
2019-02-02,251.37,49.99,50.10375,53.29,50.935,50.9875,51.1508333333333,50.9870833333333,50.0408333333333,49.9745833333333,67.8108333333333,73.3879166666667,54.5895833333333,49.8704166666667,214.399166666667,38.6395833333333,237.46625,38.1020833333333,50.9870833333333,50.9870833333333,50.9870833333333,50.9870833333333,32270.8333333333,2223.875,3310.875,368720445,19.3,5.1945
2019-02-03,187.29125,46.9479166666667,48.1504166666667,59.3841666666667,44.0270833333333,50.25375,50.53875,50.25375,47.7604166666667,46.6775,67.1808333333333,58.9166666666667,53.4891666666667,46.35625,206.032916666667,49.8579166666667,203.413333333333,48.4933333333333,50.25375,50.25375,50.25375,50.25375,29187.5,1882.875,3166.70833333333,367790050,19.3,5.1945
2019-02-04,252.608333333333,50.2054166666667,55.0608333333333,87.8475,49.2020833333333,47.1166666666667,51.9991666666667,54.89875,57.7454166666667,43.6675,69.73,88.8870833333333,64.38,44.3325,242.17625,61.1075,284.405,59.35625,53.53125,53.53125,53.745,53.745,33320.8333333333,1037.20833333333,3149.79166666667,365802590,19.355,5.1945
2019-02-05,257.144583333333,55.1045833333333,56.8825,68.9875,55.41875,50.6229166666667,50.6229166666667,55.6645833333333,57.7170833333333,54.135,62.3645833333333,58.3733333333333,60.2870833333333,55.17125,239.759583333333,61.8666666666667,264.56375,60.6183333333333,52.44875,52.44875,52.44875,52.44875,36091.6666666667,2458,3061.70833333333,367363450,19.14,5.2194
2019-02-06,270.154583333333,52.24875,53.2470833333333,81.8475,52.5566666666667,52.9591666666667,53.4404166666667,56.5029166666667,53.13875,51.46125,66.3079166666667,60.5366666666667,56.9795833333333,51.3279166666667,243.82125,60.9733333333333,222.447083333333,60.8304166666667,51.92125,51.92125,53.4404166666667,53.4404166666667,34358.3333333333,3158.33333333333,3122.875,366127103,18.915,5.1979
2019-02-07,253.6025,49.4020833333333,48.9320833333333,71.4608333333333,46.2183333333333,45.1675,48.19375,51.5245833333333,48.2808333333333,43.9854166666667,68.52375,57.4620833333333,63.4966666666667,46.11875,223.6,60.01375,238.867916666667,58.5933333333333,49.6716666666667,49.6716666666667,49.6716666666667,49.7066666666667,33212.5,4263.5,3291.66666666667,367008189,18.91,5.2089
2019-02-08,262.405833333333,49.1633333333333,49.1429166666667,90.5945833333333,47.6104166666667,39.6666666666667,41.9120833333333,50.10375,47.0145833333333,40.2529166666667,76.4791666666667,35.4716666666667,61.39125,49.0116666666667,226.317916666667,58.0016666666667,244.602083333333,56.2654166666667,48.6870833333333,48.6870833333333,48.6870833333333,48.6870833333333,34783.3333333333,3170.75,3467.08333333333,366380814,18.265,5.2407
2019-02-09,280.080833333333,46.5945833333333,37.845,81.0416666666667,39.1566666666667,7.28333333333333,10.5745833333333,46.9429166666667,33.5129166666667,7.76041666666667,69.8820833333333,44.6879166666667,62.1508333333333,43.8675,184.373333333333,54.1020833333333,193.802916666667,53.5925,46.9429166666667,46.9429166666667,46.9429166666667,46.9429166666667,31775,2208.91666666667,3542.16666666667,366666000,18.265,5.2438
2019-02-10,251.669583333333,29.84625,34.6575,60.6408333333333,26.00125,33.8316666666667,34.7029166666667,45.5895833333333,31.7858333333333,27.0720833333333,69.4720833333333,58.1395833333333,50.81875,46.1883333333333,150.411666666667,39.5875,176.371666666667,37.83625,45.5895833333333,45.5895833333333,45.5895833333333,45.5895833333333,28275,791.291666666667,3458.95833333333,370763715,18.265,5.2438
2019-02-11,266.372916666667,37.3316666666667,57.7704166666667,64.61125,42.0345833333333,34.04125,39.685,50.2558333333333,47.9829166666667,33.5241666666667,67.1420833333333,75.395,52.66375,56.9475,202.498333333333,58.11,225.37,56.9808333333333,46.7529166666667,46.7529166666667,46.7529166666667,46.7529166666667,32537.5,2745.25,3350.5,372379892,18.055,5.2438
