"DATE","TOTAL","NGAS","WIND","LIGNITE","COAL","IMCOAL","TCOAL","GEOTHERMAL","DAMHYDRO","BIOMASS","RIVER","VRE","OTHER","EUASTOTAL","EUASNGAS","EUASWIND","EUASLIGNITE","EUASCOAL","EUASIMCOAL","EUASTCOAL","EUASGEOTHERMAL","EUASDAMHYDRO","EUASBIOMASS","EUASOTHER","PRIVTOTAL","PRIVNGAS","PRIVLIGNITE","PRIVCOAL","PRIVIMCOAL","PRIVTCOAL","PRIVGEOTEHRMAL","PRIVDAMHYDRO","PRIVBIOMASS","PRIVOTHER","REALTOTAL","REALNGAS","REALWIND","REALLIGNITE","REALCOAL","REALIMCOAL","REALGEOTHERMAL","REALDAMHYDRO","REALBIOMASS","REALOTHER","PDEMAND","REALDEMAND","DEMAND","RESDEMAND","PTFTL","USDTL","TTF","WVOL","YEAR","MONTH","DAY","WDAYNO","WEEKEND","COVID","GOVERNOR","NT3","PT3","NT7","PT7","NT14","PT14","TimeVar"
2020-06-13,1.81258506874767,-0.857201967327315,-2.00173650955894,1.26195291859923,0.0889014769166981,1.60133294025566,2.9521873357716,0.316136139514988,0.0159299394680836,0.104983008281996,1.06700205956298,-0.934734449995961,0.215285063034281,-1.04288318353875,0,-0.00122571694074784,-0.021071465764428,0,0,-0.021071465764428,0,-1.04459608585326,0,0.0240100850196882,2.85546825228641,-0.857201967327315,1.28302438436366,0.0889014769166981,1.60133294025566,2.97325880153603,0.316136139514988,1.06052602532134,0.104983008281996,0.191274978014593,-0.00683487792359472,-0.366600670752145,-2.45071781630059,0.691549244062088,0.0564901614923621,0.818602596311187,0.237724345642253,0.242094200660542,0.108342104274697,0.655680956686018,-2829.25,-1775.31666666667,-0.0937450011860221,-0.0829171869259095,-0.0141248000726355,0.00463341737527534,0.0555427695987027,-0.003504456521192,2020,6,13,6,1,1,"UYSAL",0,0,0,0,0,0,645
2020-06-14,4.97570289305961,-7.15645182117231,0.397761006730207,2.61710885229557,0.183904596140886,2.10360193342863,4.9046153818651,0.620915981294742,4.22480983411341,0.333731537174,1.42059429753329,1.81835530426349,0.229726675521179,2.54866549695788,0,0.00248445013713313,0.894608702013701,0,0,0.894608702013701,0,1.59910970757099,0,0.0524626372360563,2.42703739610174,-7.15645182117231,1.72250015028187,0.183904596140886,2.10360193342863,4.0100066798514,0.620915981294742,2.62570012654242,0.333731537174,0.177264038285122,0.0157608366822188,-6.52800479396538,0.170217782419644,1.4783540909453,0.224466198511529,0.836026821775278,0.349941001236228,2.35175292983907,0.243267138183682,0.889739667736862,-4496.58333333333,-3390.99333333333,-0.169837176833573,-0.191014420502453,-0.125721244798092,0.00463341737527534,0.0555427695987027,-0.00417518676437101,2020,6,14,7,1,1,"UYSAL",0,0,0,0,0,0,646
2020-06-15,-6.8766248586867,5.58170206788417,1.27793611279797,-4.3442663135936,-0.252700416009012,-2.96291467742456,-7.55988140702718,-0.839144320053697,-1.63375481678065,-0.366003139453265,-2.88512749053874,-1.60719137774077,-0.45235186551533,-0.256692064843882,0,-0.000122726959084245,-1.19709574552131,0,0,-1.19709574552131,0,1.04142383253329,0,-0.100897424896776,-6.61993279384282,5.58170206788417,-3.14717056807229,-0.252700416009012,-2.96291467742456,-6.36278566150587,-0.839144320053697,-2.67517864931393,-0.366003139453265,-0.351454440618553,0.0294937518909109,6.02375075854076,1.50295674800426,-3.16354635455019,-0.379671724886271,-1.12395481181964,-0.676499405890178,0.546501835497331,-0.360281527764014,-2.33976176524114,6638.375,4759.86833333333,0.241598995579714,0.260332348032195,0.118226826158526,0.00463341737527534,0.0444929733433355,0.002955867806196,2020,6,15,1,0,1,"UYSAL",0,0,0,0,0,0,647
2020-06-16,-1.9313692033097,4.2363958152101,0.206197321309731,-1.37649914611847,-0.46672414893211,-1.17443249294067,-3.01765578799127,-0.217308713344666,-2.78562463560626,-0.0823341218176004,-0.201344133736617,0.00485318757311326,-0.0696949473331229,-0.671765071805396,0,-0.00121115639068683,-0.31560173142767,0,0,-0.31560173142767,0,-0.370860681439581,0,0.0159084974525371,-1.2596041315043,4.2363958152101,-1.0608974146908,-0.46672414893211,-1.17443249294067,-2.7020540565636,-0.217308713344666,-2.41476395416668,-0.0823341218176004,-0.08560344478566,-0.0433313468659833,4.10901365459332,0.519439018431902,-1.03529195798957,-0.531315776351317,0.092719602469213,-0.201091405941341,-2.32869325567959,-0.0172880214640543,-0.650823204934557,1597.08333333333,1101.58625,0.0503472165385261,0.0502983720210857,0.0585806284738686,0.0011440138529355,-0.0473406259558471,0.00161182173421501,2020,6,16,2,0,1,"UYSAL",0,0,0,0,0,0,648
2020-06-17,1.92788405389535,0.961320495553917,-0.355136053951995,-0.531336141297754,0.233541863209383,1.22993868677835,0.932144408689986,-0.142491175415458,0.651392593291302,0.00788417636701877,-0.225323228723619,-0.580459282675614,0.0980928380842084,0.741711824093564,0,-0.000565576244060725,-0.157114543605529,0,0,-0.157114543605529,0,0.89906956057874,0,0.000322383364413897,1.18617222980178,0.961320495553917,-0.374221597692225,0.233541863209383,1.22993868677835,1.08925895229552,-0.142491175415458,-0.247676967287437,0.00788417636701877,0.0977704547197946,0.0379070999035775,0.535887561574594,-0.14621693335088,-0.73815810800315,0.244182857237556,0.662563852046411,-0.0388331417952252,-0.213915889305284,0.0371240557453063,-0.304727154245748,-97.125,558.083749999998,-0.00299048234118793,0.00368964866236077,0.0204096618695013,0.000498263415792399,-0.00955117098434299,-0.00386786277441101,2020,6,17,3,0,1,"UYSAL",0,0,0,0,0,0,649
2020-06-18,-1.53537332409466,-0.319698875229786,-1.03629842607506,-0.963343029360713,0.174213484223402,1.03587690519116,0.246747360053853,0.0720803865717308,-0.737284588462252,-0.0333581915979422,0.205250676836345,-0.831047749238715,0.0671883338084587,-1.45916400234945,0,-0.000513071378614444,-0.694210503339214,0,0,-0.694210503339214,0,-0.816645265759323,0,0.0522048381277052,-0.0762093217452104,-0.319698875229786,-0.269132526021497,0.174213484223402,1.03587690519116,0.940957863393059,0.0720803865717308,0.0793606772970703,-0.0333581915979422,0.0149834956807535,-0.00679269088479373,-0.416424174464364,-1.11270722497994,-0.786414506150605,0.206292935040422,1.00223324578164,0.12328979574497,0.347239503942088,0.035271874190246,0.594425860010762,606.833333333336,-167.330416666664,0.0185394635230249,0.0280312573482213,0.00443468632389887,0.00115677200332831,0.0450357529098773,-0.005747567821481,2020,6,18,4,0,1,"UYSAL",0,0,0,0,0,0,650
2020-06-19,0.149506056171106,-2.72818661887427,1.53780599400887,1.11659674191627,0.00628423643156872,0.0556716676591904,1.17855264600701,0.0295748096254336,-0.0607956433182366,-0.00628702908436196,0.211246056939734,1.7490520509486,-0.0124041591330772,0.337358477669513,0,0.000102420651515557,0.852374811714641,0,0,0.852374811714641,0,-0.463844071774897,0,-0.0512746829217471,-0.187852421498405,-2.72818661887427,0.264221930201625,0.00628423643156872,0.0556716676591904,0.32617783429238,0.0295748096254336,0.40304842845666,-0.00628702908436196,0.03887052378867,0.00634385168442009,-3.06368560593791,1.60179116406747,1.29125790045438,0.0416151491543013,0.0252629494907382,0.0249475964177783,-0.518329503375856,0.0440505975364105,0.559433603877109,-238.083333333336,-505.864583333332,-0.00723280559218864,-0.0273120480936573,-0.0590594041055779,0.00171073932483745,0.0298259795152538,-0.00402607124190799,2020,6,19,5,0,1,"UYSAL",0,0,0,0,0,0,651
2020-06-20,0.492458349977142,-5.25738536463979,-0.00940188160723476,1.26317257563549,0.0770936781681665,1.41265375459707,2.75292000840074,0.27612667177439,1.50625075915813,0.0676744916991219,1.19838020140111,1.18897831979387,-0.0421065362093129,0.312785106969686,0,-0.000726681674281182,0.381065376668815,0,0,0.381065376668815,0,-0.0926035032085153,0,0.0250499151836655,0.179673243007471,-5.25738536463979,0.882107198966674,0.0770936781681665,1.41265375459707,2.37185463173191,0.27612667177439,1.59885426236664,0.0676744916991219,-0.0671564513929787,0.00182061123233268,-4.54597411887265,-0.842689701032378,0.903995961799914,0.14919913789234,0.678781206971173,0.100148564471387,2.41754654460251,0.0118184335288001,1.12899458187122,-2664.16666666667,-1884.11375,-0.0847182925073877,-0.0986036180018157,-0.0366096493215045,-0.000146102710465001,0.0298259795152538,0.00410736596637298,2020,6,20,6,1,1,"UYSAL",0,0,0,0,0,0,652
2020-06-21,-0.314055450368514,-3.18115738553448,-0.5029901944598,2.18650522933196,0.10689395671376,0.631096930990395,2.92449611703611,0.20203544244449,-0.44228153656039,0.163600836760935,0.509600789409442,0.00661059494964178,0.0126404805351668,-2.19569278711172,0,0.00259430092850786,0.5017425901724,0,0,0.5017425901724,0,-2.7156021845282,0,0.0155725063155729,1.88163733674318,-3.18115738553448,1.68476263915955,0.10689395671376,0.631096930990395,2.42275352686372,0.20203544244449,2.27332064796781,0.163600836760935,-0.00293202578040608,-0.0320027561603666,-3.4795256311623,0.727553778155343,2.20966755204071,0.181002803747612,0.957613048460679,0.253255421285841,-1.30915275688806,0.162625064385044,0.264957963814773,-3050.375,-2907.00166666667,-0.10672448920109,-0.106806471816238,-0.130187653488182,-0.000146102710465001,0.0298259795152538,0.00231697976258299,2020,6,21,7,1,1,"UYSAL",0,0,0,0,0,0,653
2020-06-22,8.88492306362993,8.53290908684122,-1.28122073112145,-1.35426751026124,-0.0598760678572755,1.27096854838321,-0.143175029735296,-0.0707600608866197,3.42253357629893,-0.110366432030036,-1.3057753929964,-2.58699612411785,-0.1592219527404,5.00118253157301,0,0.000964456894148115,-0.311140537772446,0,0,-0.311140537772446,0,5.36038363738938,0,-0.049025024938078,3.88374053205695,8.53290908684122,-1.04312697248878,-0.0598760678572755,1.27096854838321,0.167965508037149,-0.0707600608866197,-1.93785006109046,-0.110366432030036,-0.110196927802322,0.01560318715579,7.4600138261235,-2.37873074205555,-2.79996154890093,-0.302771345205015,-1.46017264117087,-0.3485582795945,2.123782208359,-0.244185480451838,-2.03381280994802,1628,4343.12041666666,0.0583726168397529,0.0883453784756565,0.182355677523727,-0.000146102710465001,-0.021603000334822,-0.00180475318481899,2020,6,22,1,0,1,"UYSAL",0,0,0,0,0,0,654
2020-06-23,-3.67931371971679,3.44631668371063,1.01222801194624,-1.8597425456616,-0.0755341464230952,-1.53145498935331,-3.466731681438,-0.215851624810005,-3.16770537428942,-0.0802500290462715,-1.14648798904252,-0.134259977096276,-0.0608317167474328,-2.15698093571999,0,-0.00290915461730821,-1.08543698178047,0,0,-1.08543698178047,0,-1.0830032821672,0,0.0143684828449895,-1.5223327839968,3.44631668371063,-0.774305563881132,-0.0755341464230952,-1.53145498935331,-2.38129469965753,-0.215851624810005,-2.08470209212221,-0.0802500290462715,-0.0752001995924224,-0.0237887159728274,3.6464753514166,1.43827194125086,-1.05288558119575,-0.0548847611924002,-0.375921121835312,-0.0220616517497554,-2.49959174835449,-0.0569723411463454,-1.04621880316624,2256.25,804.982500000002,0.0756480723600639,0.0771809884171368,0.0572695001358596,-0.000263038682816186,0.0591784125068164,-0.00736183123309,2020,6,23,2,0,1,"UYSAL",0,0,0,0,0,0,655
2020-06-24,-6.39970411330545,-0.650012059219826,-0.526031051449567,-0.501153668699462,-0.0658168353464903,-1.97976737037382,-2.54673787441978,-0.22299808805225,-1.46056903546027,-0.148261265070314,-0.785351573063106,-1.31138262451267,-0.0597431665703559,-1.70215233477082,0,-0.00026194116030812,-0.202506304911802,0,0,-0.202506304911802,0,-1.47674438493403,0,-0.0226397037646863,-4.69755177853463,-0.650012059219826,-0.298647363787662,-0.0658168353464903,-1.97976737037382,-2.34423156950798,-0.22299808805225,0.0161753494737598,-0.148261265070314,-0.0371034628056697,0.035268949302818,0.640732835831869,-0.695430724719509,0.435495168544987,-0.00791422381471141,-0.0954834271187472,-0.0221303539135169,0.146161382324983,-0.0105573831769854,-0.355604324655532,2491.79166666667,318.778333333335,0.0773901561233323,0.0922225585241758,-0.0341333548434966,0.000263038682816186,-0.0287101058824315,0.002407226294664,2020,6,24,3,0,1,"UYSAL",0,0,0,0,0,0,656
2020-06-25,0.563884071879656,-3.87552867855922,6.20538356187646,-0.542272088434952,0.00746224065149925,-0.320850971315554,-0.855660819099008,-0.0155864838879536,-0.669086211688427,-0.0150860591358863,-0.147581195711143,6.05780236616532,-0.0629700419151757,-1.74128935429994,0,0.00652593546193891,-0.681461479315267,0,0,-0.681461479315267,0,-1.10433732469857,0,0.0379835142519667,2.30517342617959,-3.87552867855922,0.139189390880317,0.00746224065149925,-0.320850971315554,-0.17419933978374,-0.0155864838879536,0.435251113010141,-0.0150860591358863,-0.100953556167142,0.0355102616965866,-3.79669044629312,6.50168198810913,-0.796728748799023,-0.0113451809436236,-0.914363636949329,-0.16038063516193,-0.15377011519249,-0.0124911839627793,-0.620401779110244,-289.583333333336,533.277916666666,-0.00869234635589677,-0.0791292114141111,-0.010726055297348,0.00017532069121251,-0.0751268901510551,0.002454194182653,2020,6,25,4,0,1,"UYSAL",0,1,0,1,0,1,657
2020-06-26,-0.358773042355409,-2.34377726700425,4.58332068272458,0.703870957670981,-0.0026034149162103,-0.944485646358459,-0.243218103603681,-0.0222058566297498,-2.00082571284227,0.0694444164075823,-0.416027892058777,4.1672927906658,0.0145166906511517,0.00740463535279368,0.141516227402802,0.0119129920055598,0.737409062724877,0,0,0.737409062724877,0,-0.843442367915792,0,-0.0399912788646536,-0.366177677708222,-2.48529349440705,-0.0335381050538945,-0.0026034149162103,-0.944485646358459,-0.980627166328553,-0.0222058566297498,-1.15738334492647,0.0694444164075823,0.0545079695158052,0.00138175694904419,-2.17953222935111,3.68745668723122,0.50195340027568,-0.0106137734609777,-0.959357510963535,-0.069836168102611,-0.596627176149156,-0.0385044544594759,-0.333557018070989,100.458333333336,235.864583333328,0.00302399797977415,-0.0484838511495536,-0.043468323798697,-0.000262992564670661,-0.0289595527122855,0.002801282306272,2020,6,26,5,0,1,"UYSAL",0,1,0,1,0,1,658
2020-06-27,1.58400675535253,-1.11305801239423,1.06976133546089,1.1162165062952,0.0504066299401393,0.528922134721402,1.69554527095674,0.0790041969018036,-0.551470187637529,0.0337716570398685,0.0982698746563591,1.16803121011725,0.272182620368655,0.329459783001939,-0.141516227402802,0.00577857379811189,0.195161985452462,0,0,0.195161985452462,0,0.269474847652781,0,0.000560603501386148,1.25454697235064,-0.97154178499143,0.921054520842734,0.0504066299401393,0.528922134721402,1.50038328550427,0.0790041969018036,-0.820945035290307,0.0337716570398685,0.271622016867269,0.0066185987143399,-1.56280922866087,1.52704737357495,1.29888873309493,0.169692538452684,0.526821630967046,0.10583203403446,-2.32739265875241,0.0689522257115651,0.199585950291986,-1842.875,-1718.67,-0.0569836149549019,-0.0719074749122175,-0.0175743468547269,-0.000248445390788943,-0.0289595527122855,-0.00139883128472199,2020,6,27,6,1,1,"UYSAL",0,1,0,1,0,1,659
2020-06-28,-1.65051027657564,-2.39351333653193,-1.85123951114488,0.905874710620187,0.0661381808089038,-0.473910227533874,0.498102663895217,0.156243494134492,1.22562513398752,0.151815530025016,0.483071716973595,-1.36816779417128,0.0793840320853012,-0.153693875071824,0,-0.00274645903087946,-0.121874218150239,0,0,-0.121874218150239,0,-0.0319325810834385,0,0.00285938319273468,-1.49681640150385,-2.39351333653193,1.02774892877043,0.0661381808089038,-0.473910227533874,0.619976882045457,0.156243494134492,1.25755771507095,0.151815530025016,0.0765246488925666,-0.0218852744321509,-2.48821056783461,-1.89952591411502,1.27793502967022,0.153732266713808,0.546792525528566,0.303189237850843,1.01283047347162,0.186843048913913,0.884528625368505,-2129.33333333333,-2874.76708333333,-0.0701577847092896,-0.0526984930980028,-0.131140486726907,-0.000248445390788943,-0.0289595527122855,0.001669157396227,2020,6,28,7,1,1,"UYSAL",0,1,0,1,0,1,660
2020-06-29,1.12403421108135,7.32512151659343,-4.87566473775062,-2.31929404183122,-0.125871970055348,1.18864192169504,-1.25652409019153,-0.370634064248659,2.07695404269876,-0.199480641378188,-1.41375553789114,-6.28942027564176,-0.161982276750699,3.21911627373004,0,-0.011205565745408,-0.538737576177622,0,0,-0.538737576177622,0,3.81327337413898,0,-0.0442139584859021,-2.0950820626487,7.32512151659343,-1.78055646565359,-0.125871970055348,1.18864192169504,-0.717786514013909,-0.370634064248659,-1.73631933144022,-0.199480641378188,-0.117768318264797,-0.0186050580540353,7.27651362738425,-4.66867847402605,-2.66347045268142,-0.30392602999612,0.0585450597883472,-0.457364992823187,2.57876917095172,-0.188912409431958,-1.6500805572196,4337.16666666667,5004.36583333334,0.138051058490058,0.214612753151529,0.214484923855821,-0.000248445390788943,0.134510345223507,-0.00268091093225101,2020,6,29,1,0,1,"UYSAL",0,0,0,1,0,1,661
